asset,quantile_level,normal_quantile_level,observations,distress_threshold,normal_threshold,distress_observations,normal_observations,distress_covar,normal_covar,delta_covar
BNP.PA,0.9,0.5,5389,0.023319,-0.000488,539,2695,0.064252,0.000975,0.063277
GLE.PA,0.9,0.5,5389,0.026399,-0.000347,539,2695,0.064252,0.001306,0.062946
DBK.DE,0.9,0.5,5389,0.025664,-0.000154,539,2695,0.064252,0.001366,0.062886
SAN.MC,0.9,0.5,5389,0.023226,-0.000494,539,2695,0.064252,0.001563,0.062689
BBVA.MC,0.9,0.5,5389,0.022473,-0.000424,539,2695,0.064252,0.001876,0.062376
INGA.AS,0.9,0.5,5389,0.023698,-0.000494,539,2695,0.064252,0.002149,0.062103
CBK.DE,0.9,0.5,5389,0.030727,0.0,539,2752,0.063144,0.002937,0.060207
ISP.MI,0.9,0.5,5389,0.023416,-0.000602,539,2695,0.062652,0.003036,0.059616
BNP.PA,0.95,0.5,5389,0.034102,-0.000488,270,2695,0.097827,0.004114,0.093713
DBK.DE,0.95,0.5,5389,0.038325,-0.000154,270,2695,0.097827,0.004276,0.093551
GLE.PA,0.95,0.5,5389,0.039661,-0.000347,270,2695,0.097827,0.004345,0.093483
BBVA.MC,0.95,0.5,5389,0.033019,-0.000424,270,2695,0.097827,0.004704,0.093123
INGA.AS,0.95,0.5,5389,0.038026,-0.000494,270,2695,0.097827,0.005297,0.09253
ISP.MI,0.95,0.5,5389,0.033893,-0.000602,270,2695,0.097827,0.006024,0.091803
CBK.DE,0.95,0.5,5389,0.04348,0.0,270,2752,0.097827,0.006245,0.091583
SAN.MC,0.95,0.5,5389,0.032336,-0.000494,270,2695,0.096028,0.004592,0.091437
GLE.PA,0.975,0.5,5389,0.054176,-0.000347,135,2695,0.118353,0.007002,0.111351
BNP.PA,0.975,0.5,5389,0.046549,-0.000488,135,2695,0.118353,0.007016,0.111337
DBK.DE,0.975,0.5,5389,0.052522,-0.000154,135,2695,0.118353,0.007779,0.110574
SAN.MC,0.975,0.5,5389,0.043328,-0.000494,135,2695,0.118353,0.008494,0.109859
BBVA.MC,0.975,0.5,5389,0.043282,-0.000424,135,2695,0.117022,0.00796,0.109063
INGA.AS,0.975,0.5,5389,0.053522,-0.000494,135,2695,0.118353,0.009509,0.108843
CBK.DE,0.975,0.5,5389,0.059271,0.0,135,2752,0.118353,0.009645,0.108708
ISP.MI,0.975,0.5,5389,0.047599,-0.000602,135,2695,0.118353,0.010179,0.108173
