asset,probability_level,observations,mean_score,median_score,std_score,min_score,max_score,violation_count,mean_loss,mean_var,mean_es,violation_rate
BBVA.MC,0.99,5389,0.032632,0.014621,0.254555,0.006197,11.594555,47,-0.000269,0.052815,0.069384,0.008721
BBVA.MC,0.995,5389,0.035635,0.015954,0.393077,0.006768,20.764192,27,-0.000269,0.063295,0.08139,0.00501
BNP.PA,0.99,5389,0.028016,0.012965,0.240712,0.006706,13.808357,57,-0.000288,0.054824,0.070253,0.010577
BNP.PA,0.995,5389,0.028076,0.013594,0.400991,0.007056,25.627753,24,-0.000288,0.064992,0.081224,0.004454
CBK.DE,0.99,5389,0.050172,0.021957,0.360296,0.010367,12.869067,65,0.000246,0.068886,0.093927,0.012062
CBK.DE,0.995,5389,0.05499,0.025605,0.507307,0.01213,19.529116,32,0.000246,0.083421,0.112722,0.005938
DBK.DE,0.99,5389,0.042486,0.01996,0.280322,0.009964,7.809566,56,6.1e-05,0.062215,0.084549,0.010392
DBK.DE,0.995,5389,0.048323,0.022919,0.391249,0.011459,12.419634,31,6.1e-05,0.075479,0.101164,0.005752
GLE.PA,0.99,5389,0.043604,0.020261,0.341336,0.009429,16.060089,51,-0.000129,0.063165,0.087213,0.009464
GLE.PA,0.995,5389,0.050605,0.023494,0.554183,0.01096,28.978338,23,-0.000129,0.077249,0.1052,0.004268
INGA.AS,0.99,5389,0.040477,0.017251,0.293757,0.007236,11.241048,51,-0.000214,0.061335,0.083379,0.009464
INGA.AS,0.995,5389,0.044797,0.019194,0.432651,0.008068,18.753871,32,-0.000214,0.074941,0.099523,0.005938
ISP.MI,0.99,5389,0.034111,0.014339,0.328019,0.007266,18.759355,51,-0.000295,0.056266,0.073354,0.009464
ISP.MI,0.995,5389,0.037521,0.015379,0.540643,0.007819,34.644572,21,-0.000295,0.067256,0.085643,0.003897
SAN.MC,0.99,5389,0.029499,0.012789,0.292444,0.005662,15.487701,52,-0.000248,0.052486,0.067058,0.009649
SAN.MC,0.995,5389,0.032611,0.01349,0.486618,0.005992,28.524361,22,-0.000248,0.06203,0.07745,0.004082
