asset,probability_level,residual_var,residual_es,shape_xi,scale_beta,threshold_quantile,threshold_value,exceedance_count,stress_regime,regime_label
BBVA.MC,0.99,2.515576,3.198768,0.067156,0.572031,0.95,1.543483,211,0,calm
BBVA.MC,0.99,3.259735,4.472634,0.180522,0.742697,0.95,1.867955,53,1,stress
BBVA.MC,0.995,2.96777,3.683516,0.067156,0.572031,0.95,1.543483,211,0,calm
BBVA.MC,0.995,3.993643,5.368214,0.180522,0.742697,0.95,1.867955,53,1,stress
BNP.PA,0.99,2.520328,3.173127,0.022033,0.616177,0.95,1.510988,211,0,calm
BNP.PA,0.99,3.171998,4.121696,0.150036,0.633588,0.95,2.014805,53,1,stress
BNP.PA,0.995,2.96624,3.629085,0.022033,0.616177,0.95,1.510988,211,0,calm
BNP.PA,0.995,3.761642,4.815425,0.150036,0.633588,0.95,2.014805,53,1,stress
CBK.DE,0.99,2.425736,3.138477,0.135414,0.495568,0.95,1.53471,211,0,calm
CBK.DE,0.99,3.160644,4.524444,0.244329,0.694709,0.95,1.785961,53,1,stress
CBK.DE,0.995,2.873559,3.656439,0.135414,0.495568,0.95,1.53471,211,0,calm
CBK.DE,0.995,3.939044,5.554522,0.244329,0.694709,0.95,1.785961,53,1,stress
DBK.DE,0.99,2.51243,3.251135,0.105415,0.557727,0.95,1.534319,211,0,calm
DBK.DE,0.99,3.332943,4.772266,0.265152,0.689411,0.95,1.944029,53,1,stress
DBK.DE,0.995,2.987635,3.782338,0.105415,0.557727,0.95,1.534319,211,0,calm
DBK.DE,0.995,4.137769,5.867493,0.265152,0.689411,0.95,1.944029,53,1,stress
GLE.PA,0.99,2.350101,3.217401,0.247499,0.438236,0.95,1.483799,211,0,calm
GLE.PA,0.99,3.49451,4.635559,0.135729,0.792145,0.95,2.064971,53,1,stress
GLE.PA,0.995,2.8436,3.873214,0.247499,0.438236,0.95,1.483799,211,0,calm
GLE.PA,0.995,4.211262,5.464874,0.135729,0.792145,0.95,2.064971,53,1,stress
INGA.AS,0.99,2.559278,3.422706,0.149889,0.576699,0.95,1.509764,211,0,calm
INGA.AS,0.99,3.408774,4.787772,0.218082,0.758306,0.95,1.941629,53,1,stress
INGA.AS,0.995,3.095424,4.053383,0.149889,0.576699,0.95,1.509764,211,0,calm
INGA.AS,0.995,4.215616,5.819647,0.218082,0.758306,0.95,1.941629,53,1,stress
ISP.MI,0.99,2.453546,3.111676,0.115155,0.483838,0.95,1.598143,211,0,calm
ISP.MI,0.99,3.419373,4.656458,0.198214,0.720286,0.95,2.049184,53,1,stress
ISP.MI,0.995,2.873742,3.586557,0.115155,0.483838,0.95,1.598143,211,0,calm
ISP.MI,0.995,4.156359,5.575639,0.198214,0.720286,0.95,2.049184,53,1,stress
SAN.MC,0.99,2.472961,3.033131,-0.002385,0.563665,0.95,1.567649,211,0,calm
SAN.MC,0.99,3.123046,4.408618,0.270645,0.605768,0.95,1.896829,53,1,stress
SAN.MC,0.995,2.861846,3.421091,-0.002385,0.563665,0.95,1.567649,211,0,calm
SAN.MC,0.995,3.837926,5.388774,0.270645,0.605768,0.95,1.896829,53,1,stress
