asset,quantile_level,stress_regime,regime_label,average_incoming_tail_dependence,average_outgoing_tail_dependence,average_total_tail_connectedness
BNP.PA,0.9,0,calm,0.55281,0.55281,0.55281
SAN.MC,0.9,0,calm,0.544008,0.544008,0.544008
GLE.PA,0.9,0,calm,0.542316,0.542316,0.542316
BBVA.MC,0.9,0,calm,0.534529,0.534529,0.534529
INGA.AS,0.9,0,calm,0.524712,0.524712,0.524712
ISP.MI,0.9,0,calm,0.523358,0.523358,0.523358
DBK.DE,0.9,0,calm,0.501354,0.501354,0.501354
CBK.DE,0.9,0,calm,0.480704,0.480704,0.480704
SAN.MC,0.9,1,stress,0.642857,0.642857,0.642857
BBVA.MC,0.9,1,stress,0.640162,0.640162,0.640162
DBK.DE,0.9,1,stress,0.630728,0.630728,0.630728
BNP.PA,0.9,1,stress,0.625337,0.625337,0.625337
GLE.PA,0.9,1,stress,0.614555,0.614555,0.614555
CBK.DE,0.9,1,stress,0.610512,0.610512,0.610512
INGA.AS,0.9,1,stress,0.606469,0.606469,0.606469
ISP.MI,0.9,1,stress,0.605121,0.605121,0.605121
BNP.PA,0.95,0,calm,0.486121,0.486121,0.486121
GLE.PA,0.95,0,calm,0.463778,0.463778,0.463778
SAN.MC,0.95,0,calm,0.462424,0.462424,0.462424
BBVA.MC,0.95,0,calm,0.442112,0.442112,0.442112
INGA.AS,0.95,0,calm,0.439404,0.439404,0.439404
ISP.MI,0.95,0,calm,0.436019,0.436019,0.436019
DBK.DE,0.95,0,calm,0.420447,0.420447,0.420447
CBK.DE,0.95,0,calm,0.356804,0.356804,0.356804
SAN.MC,0.95,1,stress,0.584906,0.584906,0.584906
BBVA.MC,0.95,1,stress,0.576819,0.576819,0.576819
INGA.AS,0.95,1,stress,0.568733,0.568733,0.568733
DBK.DE,0.95,1,stress,0.563342,0.563342,0.563342
GLE.PA,0.95,1,stress,0.560647,0.560647,0.560647
BNP.PA,0.95,1,stress,0.555256,0.555256,0.555256
CBK.DE,0.95,1,stress,0.555256,0.555256,0.555256
ISP.MI,0.95,1,stress,0.514825,0.514825,0.514825
GLE.PA,0.975,0,calm,0.454178,0.454178,0.454178
BNP.PA,0.975,0,calm,0.43531,0.43531,0.43531
SAN.MC,0.975,0,calm,0.419137,0.419137,0.419137
INGA.AS,0.975,0,calm,0.412399,0.412399,0.412399
BBVA.MC,0.975,0,calm,0.402965,0.402965,0.402965
ISP.MI,0.975,0,calm,0.380054,0.380054,0.380054
DBK.DE,0.975,0,calm,0.343666,0.343666,0.343666
CBK.DE,0.975,0,calm,0.292453,0.292453,0.292453
ISP.MI,0.975,1,stress,0.433862,0.433862,0.433862
SAN.MC,0.975,1,stress,0.433862,0.433862,0.433862
CBK.DE,0.975,1,stress,0.417989,0.417989,0.417989
DBK.DE,0.975,1,stress,0.417989,0.417989,0.417989
BNP.PA,0.975,1,stress,0.412698,0.412698,0.412698
GLE.PA,0.975,1,stress,0.407407,0.407407,0.407407
INGA.AS,0.975,1,stress,0.402116,0.402116,0.402116
BBVA.MC,0.975,1,stress,0.386243,0.386243,0.386243
