asset,quantile_level,average_incoming_tail_dependence,average_outgoing_tail_dependence,average_total_tail_connectedness
BNP.PA,0.9,0.598728,0.598728,0.598728
GLE.PA,0.9,0.588391,0.588391,0.588391
SAN.MC,0.9,0.57832,0.57832,0.57832
INGA.AS,0.9,0.574874,0.574874,0.574874
BBVA.MC,0.9,0.569308,0.569308,0.569308
DBK.DE,0.9,0.552611,0.552611,0.552611
ISP.MI,0.9,0.54784,0.54784,0.54784
CBK.DE,0.9,0.521071,0.521071,0.521071
GLE.PA,0.95,0.569841,0.569841,0.569841
BNP.PA,0.95,0.568783,0.568783,0.568783
SAN.MC,0.95,0.553968,0.553968,0.553968
INGA.AS,0.95,0.55291,0.55291,0.55291
BBVA.MC,0.95,0.548677,0.548677,0.548677
ISP.MI,0.95,0.524339,0.524339,0.524339
DBK.DE,0.95,0.521164,0.521164,0.521164
CBK.DE,0.95,0.469312,0.469312,0.469312
BNP.PA,0.975,0.538624,0.538624,0.538624
GLE.PA,0.975,0.526984,0.526984,0.526984
SAN.MC,0.975,0.51746,0.51746,0.51746
BBVA.MC,0.975,0.500529,0.500529,0.500529
INGA.AS,0.975,0.497354,0.497354,0.497354
DBK.DE,0.975,0.48254,0.48254,0.48254
ISP.MI,0.975,0.478307,0.478307,0.478307
CBK.DE,0.975,0.453968,0.453968,0.453968
