asset,probability_level,observations,expected_violations,violation_count,violation_rate,expected_violation_rate,kupiec_lr,kupiec_p_value,independence_lr,independence_p_value,conditional_coverage_lr,conditional_coverage_p_value,n00,n01,n10,n11
BBVA.MC,0.99,5276,52.76,47,0.008908,0.01,0.659411,0.416768,0.593044,0.441244,1.252455,0.534605,5182,46,46,1
BBVA.MC,0.995,5276,26.38,27,0.005118,0.005,0.014532,0.904048,0.277821,0.598133,0.292353,0.864005,5221,27,27,0
BNP.PA,0.99,5276,52.76,49,0.009287,0.01,0.277269,0.598497,0.496852,0.480887,0.774121,0.67905,5178,48,48,1
BNP.PA,0.995,5276,26.38,21,0.00398,0.005,1.185996,0.276139,0.167873,0.68201,1.353868,0.508173,5233,21,21,0
CBK.DE,0.99,5276,52.76,61,0.011562,0.01,1.237711,0.265913,1.427344,0.232198,2.665055,0.26381,5153,61,61,0
CBK.DE,0.995,5276,26.38,34,0.006444,0.005,2.026364,0.15459,0.44114,0.506573,2.467504,0.291198,5207,34,34,0
DBK.DE,0.99,5276,52.76,49,0.009287,0.01,0.277269,0.598497,0.496852,0.480887,0.774121,0.67905,5178,48,48,1
DBK.DE,0.995,5276,26.38,26,0.004928,0.005,0.005528,0.940732,0.257574,0.611792,0.263102,0.876735,5223,26,26,0
GLE.PA,0.99,5276,52.76,49,0.009287,0.01,0.277269,0.598497,0.918881,0.337769,1.19615,0.549869,5177,49,49,0
GLE.PA,0.995,5276,26.38,24,0.004549,0.005,0.222568,0.63709,0.219388,0.639507,0.441955,0.801735,5227,24,24,0
INGA.AS,0.99,5276,52.76,49,0.009287,0.01,0.277269,0.598497,0.918881,0.337769,1.19615,0.549869,5177,49,49,0
INGA.AS,0.995,5276,26.38,28,0.005307,0.005,0.098008,0.754233,0.298839,0.584611,0.396847,0.820022,5219,28,28,0
ISP.MI,0.99,5276,52.76,53,0.010045,0.01,0.001101,0.973529,1.075851,0.299627,1.076953,0.583637,5169,53,53,0
ISP.MI,0.995,5276,26.38,26,0.004928,0.005,0.005528,0.940732,0.257574,0.611792,0.263102,0.876735,5223,26,26,0
SAN.MC,0.99,5276,52.76,57,0.010804,0.01,0.335408,0.562492,1.245329,0.264446,1.580737,0.453677,5161,57,57,0
SAN.MC,0.995,5276,26.38,23,0.004359,0.005,0.455027,0.499957,0.201448,0.653555,0.656475,0.720192,5229,23,23,0
